index,premise,hypothesis,concatenation_spectral_k2,concatenation_gmm_k2,concatenation_hierarchical_k2,concatenation_spectral_k3,concatenation_gmm_k3,concatenation_hierarchical_k3,concatenation_spectral_k4,concatenation_gmm_k4,concatenation_hierarchical_k4,concatenation_spectral_k5,concatenation_gmm_k5,concatenation_hierarchical_k5,concatenation_spectral_k10,concatenation_gmm_k10,concatenation_hierarchical_k10,semantic_coherence_spectral_k2,semantic_coherence_gmm_k2,semantic_coherence_hierarchical_k2,semantic_coherence_spectral_k3,semantic_coherence_gmm_k3,semantic_coherence_hierarchical_k3,semantic_coherence_spectral_k4,semantic_coherence_gmm_k4,semantic_coherence_hierarchical_k4,semantic_coherence_spectral_k5,semantic_coherence_gmm_k5,semantic_coherence_hierarchical_k5,semantic_coherence_spectral_k10,semantic_coherence_gmm_k10,semantic_coherence_hierarchical_k10
59,A man is skateboarding in front of a group of people.,A man rides a surfboard on the back of a killer whale.,0,1,0,1,1,1,1,1,0,0,1,0,8,8,0,0,0,1,0,0,1,0,3,1,0,2,4,8,6,9
60,A man in costume looks rather amusing.,A man is naked,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,2,0,0,2,0,0,2,0,7,6,0
61,"An elderly Asian women, pushes a cart with bags on it, through the street.",The woman is white,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
62,An woman sits on a gray bench in front of a concrete wall with graffiti.,A young couple dances in a meadow.,0,1,0,2,2,2,0,3,2,2,3,2,9,6,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
63,A little boy is standing on a rock in front of a lake his arms flung wide.,A young boy takes a nap.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,2,0,0,2,0,0,4,1,0,8,5
64,People sit in a lit alcove off a dark street.,People standing on the roof are dancing.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,4,0,0,0,0,2,0,0,2,0,0,4,0,1,8,8
65,A cyclist leaning hard to make a sharp turn.,The cyclist is running,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,0,0,1,0,0,3,0,8,0,0
66,A hockey player is laying on the ice in front of the goal.,A baseball player is hitting a homerun.,0,1,0,2,1,2,2,1,2,1,1,2,3,1,7,0,0,0,0,2,0,0,2,0,0,4,0,9,6,0
67,A boy jumping a rail on his skateboard.,A boy is playing video games.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,0,3,5
68,A girl is looking at a tripod.,the girls is looking at the moon,0,1,0,1,2,2,2,3,2,4,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6
69,Smoke has filled the air and the buildings preventing the firefighter from entering the building.,The firefighter is at the station taking a nap.,0,1,0,1,1,1,1,1,0,0,1,0,1,5,2,0,0,0,0,2,0,0,2,0,0,4,0,7,3,0
70,A woman and young girl are sitting at a table and dipping fruit in liquid chocolate.,They are eating tacos.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,0,1,0,0,1,0,0,1,0,0,4,7,8,4
71,The young ladie takes a goalie kick during a soccer match.,The young ladie prepares to step onto the ice,0,1,0,2,2,1,2,3,0,4,2,0,0,2,0,0,1,0,0,0,0,0,3,0,0,3,0,1,3,0
72,Small children romping through a park.,The children were all sleeping.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,2,0,2,0,0,2,4,1,5,8,7
73,The lake looks very shallow.,The lake is fifty feet deep.,0,1,0,1,2,1,0,0,0,2,0,0,9,1,0,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
74,A large gray dog carrying a ball in its mouth runs across the grass towards the camera.,A large gray cat carrying a ball in its mouth runs across the grass towards the camera.,1,1,1,0,2,0,3,2,3,3,4,3,7,3,3,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
75,Two gentlemen outside beside a log.,The men are on a bed.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
76,A group of children playing in the water fountain.,A group of children are sleeping.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,0,0,2,0,0,2,0,1,5,3,7
77,Seniors gathered around a table.,The children are gathered around a table.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
78,Three men in an auditorium prepare to tape something.,The shot only shows some women swimming.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,1,0,2,1,0,2,1,0,4,4,1,2,4
79,A crowd of people waiting for the light.,people are eating food at a restaurant.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,4,0,1,8,8
80,A woman stands next to a coastline in a blue sweatshirt and jeans holding a camera.,The woman is swimming in the ocean.,0,1,0,1,2,2,0,3,2,2,3,2,2,9,1,0,0,1,0,2,1,0,2,1,0,4,4,7,8,4
81,A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track.,The dog is laying down.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,0,0,1,3,3,1,3,3,2,9,3
82,A man holds multiple flags while standing in a town square.,A man is holding nothing while standing in a square.,0,1,0,1,1,1,1,1,0,0,1,0,1,5,0,0,1,0,0,1,2,0,3,2,0,3,2,1,1,2
83,Men discuss something while in front of stand.,The men are fighting,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
84,two males from the green team tackles the other members from black team for the ball in a game of rugby.,They are playing hockey.,0,0,0,2,0,2,2,0,2,1,0,2,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0
85,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat.,The girl has brown hair and is on the back of a pickup truck.,0,1,0,1,2,1,2,3,0,4,3,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6
86,A young girl with a pink headband hits a dish and pan with chopsticks.,the girls is asleep,0,1,0,1,2,1,2,3,0,4,2,1,2,5,6,0,0,0,0,2,0,0,0,0,0,4,0,6,5,6
87,Two older people drinking coffee outside.,Two kids are drinking soda inside.,0,0,0,2,0,2,0,0,2,2,0,2,9,7,1,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
88,"Two male bicyclists wearing racing suits, goggles, and helmets pedal along a path marked with metal barricades.",The guys were watching a bike race on tv.,0,0,0,1,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0
89,A woman and a little boy with a backpack walking with an umbrella in the city.,Two people in the country are sitting down.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
90,People walking down the street and past an open bus.,People on the bus use make shit fans to cool themselves after the air conditioning system failed.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,1,0,0,0,2,0,3,2,0,0,2,1,3,2
91,a man sleeping on a bench outside with a white and black dog sitting next to him.,A man is seen petting his dog,0,1,0,1,1,1,1,2,0,0,1,0,1,8,0,0,1,0,0,0,2,0,3,2,0,2,2,7,1,2
92,A young boy tilted forward in a child's swing.,A young boy tilted backward in a child's swing.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,1,0,0,1,2,0,1,2,0,1,2,0,7,2
93,"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",The woman is wearing a white dress.,0,1,0,1,2,1,1,3,0,0,3,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
94,"Two women, one sitting in a chair, the other standing, appear to be injured.",Two woman are sitting at the park.,0,0,0,2,0,2,0,0,2,2,3,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
95,Two women in a light blue and a dark blue jacket walking in a crosswalk and a fake giant rat is on the sidewalk behind them.,The men cheer at the television screen.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
96,A surfer with a large white surfboard and tether line is standing on the beach on an overcast day.,A man loads his surfboard onto his jeep.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,0,0,0,0,2,0,3,2,0,3,2,7,3,2
97,"A guy on skateboard, doing a trick.",Hitler riding a skateboard.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,2,3,3,2,4,3,2,8,1,2
98,Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area.,A perfectly healthy person with a crew cut is walking into the hospital.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,0,4,7,3,9
99,Picture of a hotdog vendor in the street.,A man is cooking a hamburger in a bathroom.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
100,"Man wearing a white short-sleeved t-shirt, red apron, and a black baseball cap shucking a clam at a restaurant stand.",A man is shucking ears of corn for the patrons.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,0,7,1,0
101,a windsurfer is making a big splash in the ocean whilst riding a red windsurf.,The surfer is performing surgeory.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,0,2,0,3,2,0,3,2,1,3,2
102,children ride bikes in what appears to be an impoverished nation.,The children are sitting on a couch.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,8,7
103,A group of women in a red and black outfit with a red star on the helmet skating in a competition.,Multiple men are lazy and do not work hard.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,7,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
104,Two women walking down the street wearing flip-flops.,two men shooting pool,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
105,A boy in a dirty shirt is walking through knee-high ocean water.,This is how to take a bath.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,4,0,7,3,0
106,The scruffy young man smokes a cigarette on a busy street.,A man is hanging out inside.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
107,"There is a young man running towards the camera, in the street, and his friend is cheering him on.",A man takes a picture of his friends jeering at the slowest runners.,0,0,0,1,1,2,0,1,2,0,1,2,9,1,7,0,1,0,0,1,2,0,3,2,0,1,2,1,0,2
108,A group of men watch television.,A group of children watch television.,0,0,0,2,0,1,2,0,0,4,0,0,0,7,0,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
109,Two people show off their matching skull tattoos while two other people look on.,The couple is showing off their motorcycles to the people.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110,"Soldiers stand in formation outside of a building, and one man dressed in street clothes stands near them.",They are currently marching.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
111,A young boy skateboarding down some stairs in front of a silver wall,the boy is riding a bike.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,0,3,5
112,the two boys playing guitar,Two girls are singing a duet.,0,0,0,2,0,2,0,0,2,2,0,2,6,7,4,0,0,1,0,0,1,0,0,1,0,4,4,1,8,4
113,A person walks with an artistic contraption in front of the Ocean Blue Company.,An artist inside a building.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,0,7,1,0
114,"A tall, dark-haired man in white sport coat and black slacks is walking along a tiled mosaic crosswalk of various colors and designs beside a woman with short, dark hair who is also wearing a white sport coat but with blue jeans.",Two dctors in white coats are working in a lab.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
115,Blond girl in white top with stars standing beside brunette woman in blue top with stars.,Two girls are sitting on a bench.,0,0,0,2,0,1,0,0,0,2,0,1,2,7,6,0,0,0,0,2,0,0,0,0,0,4,0,1,8,1
116,Four dirt bike riders are riding on a dirt road.,Three men drive cars in a line.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,8,0
117,a black dog has caught a bird in its mouth.,The bird is taunting the dog and flying away.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,1,0,1,0,2,1,3,2,1,3,2,2,3,2
118,A dark-haired man in his twenties drinks a green liquid from a plastic mug.,The man is eating a bagel.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
119,Lady in short skirt plays music outdoors.,The lady in short skirt plays music indoors.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
120,The boy drinks from a plastic glass while sitting at a table with food on it.,A boy is drinking a bottle of root beer.,0,1,0,1,1,1,2,1,0,4,2,0,0,2,0,0,1,0,0,1,0,0,3,0,0,3,1,0,3,5
121,A man is vacuuming a bedroom while barefoot.,A man is vaccuming the kitchen.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,1,2,7,3,2
122,Three men sitting on steps.,Three men are standing by the bus stop.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
123,A small girl is wearing a costume and a festive hat and looking thoughtful.,A girl is wearing normal school clothing.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,6,5,6
124,A man is standing in the doorway holding a bag while talking to another man.,Two women discuss the shoes one of them bought.,0,0,0,2,0,1,0,0,0,2,0,1,9,0,5,0,0,0,0,0,2,0,0,2,0,0,2,1,3,2
125,Four boys play in the mud.,Four boys are sitting at a table.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,1,0,2,1,0,2,3,1,5,7,7
126,People trying to stay dry with umbrellas in the city.,A nice sunny day outside.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,2,2,0,2,2,0,4,2,1,8,2
127,A man in an orange jacket is speaking with a cashier.,A man is in a black jacket.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,2,2,7,1,2
128,Young cyclists prepare for a race.,Young cyclist are eating at a dennys restaurant.,0,0,0,1,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8,3,0
129,A boy skateboarding on a pier during sunset.,A kid is playing volleyball at the beach.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,0,0,0,3,1,0,3,5
130,The blonde tennis player is wearing a white shirt and a green tennis skirt.,The brunette tennis player is wearing red.,0,1,0,1,2,2,2,3,2,0,3,2,2,4,7,0,1,0,0,1,2,0,1,2,0,0,2,9,0,2
131,A martial arts competition between a blue and red belt.,The band is playing at the marching band competition.,0,0,0,2,0,1,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,0
