index,premise,hypothesis,original_index
68,A girl is looking at a tripod.,the girls is looking at the moon,204
69,Smoke has filled the air and the buildings preventing the firefighter from entering the building.,The firefighter is at the station taking a nap.,206
70,A woman and young girl are sitting at a table and dipping fruit in liquid chocolate.,They are eating tacos.,207
71,The young ladie takes a goalie kick during a soccer match.,The young ladie prepares to step onto the ice,208
72,Small children romping through a park.,The children were all sleeping.,212
73,The lake looks very shallow.,The lake is fifty feet deep.,214
74,A large gray dog carrying a ball in its mouth runs across the grass towards the camera.,A large gray cat carrying a ball in its mouth runs across the grass towards the camera.,216
75,Two gentlemen outside beside a log.,The men are on a bed.,217
76,A group of children playing in the water fountain.,A group of children are sleeping.,218
77,Seniors gathered around a table.,The children are gathered around a table.,223
78,Three men in an auditorium prepare to tape something.,The shot only shows some women swimming.,226
79,A crowd of people waiting for the light.,people are eating food at a restaurant.,227
80,A woman stands next to a coastline in a blue sweatshirt and jeans holding a camera.,The woman is swimming in the ocean.,230
81,A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track.,The dog is laying down.,236
82,A man holds multiple flags while standing in a town square.,A man is holding nothing while standing in a square.,237
83,Men discuss something while in front of stand.,The men are fighting,240
84,two males from the green team tackles the other members from black team for the ball in a game of rugby.,They are playing hockey.,241
85,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat.,The girl has brown hair and is on the back of a pickup truck.,256
86,A young girl with a pink headband hits a dish and pan with chopsticks.,the girls is asleep,257
87,Two older people drinking coffee outside.,Two kids are drinking soda inside.,262
88,"Two male bicyclists wearing racing suits, goggles, and helmets pedal along a path marked with metal barricades.",The guys were watching a bike race on tv.,263
89,A woman and a little boy with a backpack walking with an umbrella in the city.,Two people in the country are sitting down.,268
90,People walking down the street and past an open bus.,People on the bus use make shit fans to cool themselves after the air conditioning system failed.,272
91,a man sleeping on a bench outside with a white and black dog sitting next to him.,A man is seen petting his dog,275
92,A young boy tilted forward in a child's swing.,A young boy tilted backward in a child's swing.,276
93,"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",The woman is wearing a white dress.,280
94,"Two women, one sitting in a chair, the other standing, appear to be injured.",Two woman are sitting at the park.,281
95,Two women in a light blue and a dark blue jacket walking in a crosswalk and a fake giant rat is on the sidewalk behind them.,The men cheer at the television screen.,283
96,A surfer with a large white surfboard and tether line is standing on the beach on an overcast day.,A man loads his surfboard onto his jeep.,290
97,"A guy on skateboard, doing a trick.",Hitler riding a skateboard.,292
98,Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area.,A perfectly healthy person with a crew cut is walking into the hospital.,297
99,Picture of a hotdog vendor in the street.,A man is cooking a hamburger in a bathroom.,299
100,"Man wearing a white short-sleeved t-shirt, red apron, and a black baseball cap shucking a clam at a restaurant stand.",A man is shucking ears of corn for the patrons.,301
101,a windsurfer is making a big splash in the ocean whilst riding a red windsurf.,The surfer is performing surgeory.,303
102,children ride bikes in what appears to be an impoverished nation.,The children are sitting on a couch.,306
103,A group of women in a red and black outfit with a red star on the helmet skating in a competition.,Multiple men are lazy and do not work hard.,307
104,Two women walking down the street wearing flip-flops.,two men shooting pool,308
105,A boy in a dirty shirt is walking through knee-high ocean water.,This is how to take a bath.,309
106,The scruffy young man smokes a cigarette on a busy street.,A man is hanging out inside.,310
107,"There is a young man running towards the camera, in the street, and his friend is cheering him on.",A man takes a picture of his friends jeering at the slowest runners.,312
108,A group of men watch television.,A group of children watch television.,314
109,Two people show off their matching skull tattoos while two other people look on.,The couple is showing off their motorcycles to the people.,315
110,"Soldiers stand in formation outside of a building, and one man dressed in street clothes stands near them.",They are currently marching.,316
111,A young boy skateboarding down some stairs in front of a silver wall,the boy is riding a bike.,318
112,the two boys playing guitar,Two girls are singing a duet.,320
113,A person walks with an artistic contraption in front of the Ocean Blue Company.,An artist inside a building.,321
114,"A tall, dark-haired man in white sport coat and black slacks is walking along a tiled mosaic crosswalk of various colors and designs beside a woman with short, dark hair who is also wearing a white sport coat but with blue jeans.",Two dctors in white coats are working in a lab.,323
115,Blond girl in white top with stars standing beside brunette woman in blue top with stars.,Two girls are sitting on a bench.,324
116,Four dirt bike riders are riding on a dirt road.,Three men drive cars in a line.,337
117,a black dog has caught a bird in its mouth.,The bird is taunting the dog and flying away.,342
118,A dark-haired man in his twenties drinks a green liquid from a plastic mug.,The man is eating a bagel.,345
119,Lady in short skirt plays music outdoors.,The lady in short skirt plays music indoors.,348
120,The boy drinks from a plastic glass while sitting at a table with food on it.,A boy is drinking a bottle of root beer.,349
121,A man is vacuuming a bedroom while barefoot.,A man is vaccuming the kitchen.,352
122,Three men sitting on steps.,Three men are standing by the bus stop.,353
123,A small girl is wearing a costume and a festive hat and looking thoughtful.,A girl is wearing normal school clothing.,354
124,A man is standing in the doorway holding a bag while talking to another man.,Two women discuss the shoes one of them bought.,357
125,Four boys play in the mud.,Four boys are sitting at a table.,359
126,People trying to stay dry with umbrellas in the city.,A nice sunny day outside.,360
127,A man in an orange jacket is speaking with a cashier.,A man is in a black jacket.,361
128,Young cyclists prepare for a race.,Young cyclist are eating at a dennys restaurant.,362
129,A boy skateboarding on a pier during sunset.,A kid is playing volleyball at the beach.,363
130,The blonde tennis player is wearing a white shirt and a green tennis skirt.,The brunette tennis player is wearing red.,365
131,A martial arts competition between a blue and red belt.,The band is playing at the marching band competition.,377
132,Some people riding scooters in the street.,Dogs riding scooters in the street.,378
133,A shirtless man is playing a red set of drums.,Everyone is fully clothed.,387
134,"A man, wearing a green coat and tan tuque, sorts through a crate of tomatoes.",The man is looking through peas.,391
135,Four musicians perform on stage.,People are writing music in a studio.,392
136,A bride and groom slow-dancing while the wedding guests watch.,A newly wed couple is driving off in a limo.,393
137,A woman is cooking food in a kitchen.,A woman reading in the kitchen.,396
138,Two women looks over an item at a Chinese convenience store.,Two men are in a gas station,400
139,A girl in a blue shirt walking with a man.,The girl is sleep.,402
140,A group of people running on a beach at dawn.,A group of people are walking along the beach in the afternoon.,421
141,A mother stands in a kitchen holding a small baby.,A mother is clapping her hands.,424
142,"Two young girls, one in sunglasses, play with a large soap bubble in the park.",Two kids are jumping rope.,427
143,A man with a green motorized bike looks across the lake at a city.,A man pushes his bike into a lake.,432
144,People hanging out and talking about their interests.,The people are silent.,433
145,Donkey pulled cart parked in front of small shops.,Motorized cart driving through the streets.,435
146,White man sits on the floor among scattered clothing and bags.,Nobody is sitting.,436
147,A person wearing a cone-shaped hat is walking down the street with many bags.,A man carries a tuba.,439
148,"Man in dark business suit, sitting by a marble water fountain, wearing eyeglasses and talking on his cellphone with newspaper on his lap.",A man is at his desk in front of a computer.,452
149,indian ladies dancing in front of crowd,Indian ladies are sitting around playing cards,464
150,Three boys in the middle of a squirt gun battle.,the boys are playing with bottle rockets,467
151,A semi truck with a cement mixer on the trailer attached to it is parked on the street near a driveway.,A woman goes for a run.,474
152,A man in a red striped shirt talks in to a microphone.,A man is reading in the library.,477
153,Cowboy being thrown off bucking horse.,The man is driving his car to the stadium.,479
154,Boston Bruins and Pittsburgh Penguins playing ice hockey.,They are in the middle of a grassy field.,485
155,Two people sit in an old run down building at night.,The people are running in the streets.,489
156,People walking on dirt road with two trucks,dog sleeps in a chair,491
157,Three young men standing in a field behind a barbecue smiling each giving the two handed thumbs up sign,Three women stand in a field behind a barbecue smile at each other,493
158,A man in a hat with a green scooter is standing by the water in a park.,The man is standing on the scooter.,500
159,A little tan dog with large ears running through the grass.,The dog is seated on the bench.,503
160,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,Two women are doing yoga.,508
161,There is an old woman in front of a window.,The woman is asleep in her bed.,509
162,A blond woman in a cowboy hat is carrying a multicolored messenger bag.,woman sitting in a cafe,511
163,Skier in midair with forest in background.,The skier is in midair with a desert in the background.,518
164,"this Black Dude, in the Brown Shirt, is singing a song.",Adele is singing.,524
165,A brown dog is shaking off the snow.,A white dog is swimming.,526
166,Three men in orange vests are pulling a jeep out of a ravine while another man sits inside.,The jeep is being pulled out by babies.,528
167,A woman in a white shirt is running with a dog in the grass.,A woman is petting a cat in her lap.,529
168,"A skinny shirtless man wearing sunglasses, a tiger scarf around his neck and a black belt and jeans is hammering on a metal rod.",Man pushing a rod.,532
169,A person is show upside down on his bicycle over a large field.,An old woman is upside down on her bicycle.,534
170,A large white bird pulling a fish out of the water.,someone is eating a bird,535
171,A mid sized mixed gender choir sings while the director motions to keep beat.,There is an all female choir.,536
172,A guy is communicating with someone in a car.,A guy is communicating with someone in a plane.,540
173,A redheaded girl offers the peace sign as she swims in the pool with floaties.,A brunette girl sits in a law chair reading a book.,541
174,A man child carries two loaves of bread through the store.,A man is stealing a car.,542
175,Guy drilling near a lamp post.,A person cutting down a tree.,547
176,A group of native looking women in bright clothing.,The women are all dressed in black.,550
177,greyhounds racing on a track,The dogs are not racing.,552
178,A woman walking with a beverage in her right hand.,A woman puking in the sink.,559
179,A man wearing dark clothing is talk to a young boy while they are walking down the sidewalk.,A man with dark clothes in in the middle of the road.,568
180,Child in a blue diaper underwater in a pool with his eyes shut.,the child is on the rooftop,569
181,A group of men play croquet.,A group of men are playing soccer.,574
182,The brown and white dog is in the water.,A brown dog and a white dog are in the water.,575
183,A worker dressed in orange overall sprays off an ocean side road with high pressure water.,The road is dry.,576
184,A man in a blue shirt pulling a cart with large bags full of cans.,A man is pulling a cart filled with books in bags.,578
185,A person creates a tattoo of a rose on a woman's arm.,A woman gets a tattoo of a sunflower.,580
186,A man dressed in a funky outfit is playing guitar.,A man is wearing a funky outfit to prom.,582
187,Two girls posing for a picture on a path surrounded by trees.,Two girls are playing tennis.,585
188,A woman chats with a smiling police officer.,The police officer is frowning.,586
189,"Toddler in blue shirt and beige khaki shorts and brown shoes, holding a small blue shovel, walking along beach shore with two white seagulls swooping towards him.",A toddler plays in a bathtub.,587
190,Three children play outside of a run-down building.,There are children watching others play,590
191,A dog jumps and catches a Frisbee in the grass.,A cat chases a frisbee across a parking lot,597
192,A football player is about to catch a football.,The football player is sitting on the bench.,609
193,A young girl and boy play facing each other in a park.,Two children are sitting in the backseat of the car on the way home.,610
194,A dark-haired man wearing blue jeans is in mid jump on the ledge of a mountain area.,A dark-haired man is lying on the ledge.,612
195,A woman in white is holding a bouquet of roses.,A man holds a bouquet of roses.,614
196,A child flying a kite.,The woman crashed the kite.,617
197,A group of cyclists is pausing nearby a green and tan sign.,The cyclists are playing the tuba.,620
198,A toddler in a white and yellow outfit is reaching for a yellow paper Japanese lantern on a wooden fence.,The toddler is wearing black,621
199,A police officer riding a motorcycle.,There is a firefighter in a truck.,622
200,A blond-hair boy wearing a light blue sweater and light blue shorts walks along a dirt path.,A blonde haired boy is home sleeping.,623
201,Two men one playing a flute and one dancing.,The man with the axe is ready to kill the dancer.,627
202,"A young, fit, tanned man in bright blue Speedos adjusts his swimming goggles.",the young man is wearing the red speedos,629
203,"A woman sits on a bench trying on a dressy sandal, with shoe boxes visible in the background.",The woman finds it easy to stand and try on shoes.,632
204,A man dressed in working clothes shovels some dirt.,A women dumps sand on a beach.,637
205,People try to make a point about how big companies do n't care about people and only car about money.,Birds are flying in the sky.,640
206,A girl rides a unicycle with a child who rides a scooter.,Nobody is riding,649
207,Two men sit on opposite sides of an advertisement in a bus shelter.,Two men are playing chess,652
208,"Hockey goalie dressed in black with vaughn printed on pad, appearing to have missed the puck.",The hockey goalie is a zombie controlled by the Russians.,654
209,Three girls run a race in the mud.,three girls are racing inside,659
210,Three young women are playing softball.,Three women are watching a game of baseball on television.,662
211,A woman is preparing food at a table.,the lady slept in her bed,665
212,"A woman is singing and playing the piano, at what appears to be a concert or event.",A man is singing and playing the piano alone.,666
213,Some on is getting body art done by someone with a lot of body art.,Nobody making art,669
214,A man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat.,A man is throwing mud at windows from the sidewalk.,672
215,Female wearing white earmuffs walking on a paved road.,the female is seated,676
216,The blacksmith checks the fire pit to see if it is hot enough.,A group of blacksmiths are finished working.,678
217,A man is riding a powered para-glider in the air at sunset.,The pilot is flying an airplane.,680
218,Two dogs meeting near the water's edge,Two dogs are sleeping cuddled up.,684
219,Three workers unloading flowers from a large truck.,The movers are loading furniture.,686
220,Unhappy looking dog under a blow dryer.,A dog romps on the grass.,687
221,A person is falling from the sky with a parachute with mountains and a body of water in the background.,"People jump out of a plane while it's still on the ground, on fire.",688
222,A woman in a plaid shirt looks at a box of food while another woman to her left in a blue shirt is texting on her phone.,The woman is looking at books.,698
223,An older woman in a scarf and fur-lined coat sits down across from a younger woman who is standing.,The older woman is riding a unicycle.,699
224,A woman and two children stand in front of a statue while random people wander the city square.,There is a group of cats climbing a tree.,701
225,A woman with an orange shirt selling vegetables on the street.,A woman is selling clothes,707
226,A man catches a decent sized fish and is taking it off the hook,A woman is unhooking a fish.,713
227,A little girl is getting splashed by water.,A child is resting on dry sand.,714
228,A small blond boy slides head first down a blue playground slide toward another blond youth.,the two boys are sliding feet first together down the slide,718
229,A black and white spotted dog jumps over a stream.,The cat jumps over the stream.,722
230,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,725
231,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",A group of people are inside a building.,728
232,Three people on two separate motorcycles pass one another on what appears to be a race in Asia.,The three people were watching the race on tv,732
233,A man is making pretzels.,The man is eating a hot dog.,737
234,A girl is observing some carvings on a stone wall.,The carvings are drawn on the wall in crayon.,739
235,A woman in an apron drinking a coffee drink and eating a cookie.,A woman is working in a factory,740
236,A man wearing a white striped top and a white hat is sitting in front of a sewing machine.,A man has a blue hat,741
237,Two boys and two girls jump as they have their photo taken.,Four kids are laying down for a photo,742
238,Two men and one woman wearing suits walking down a street.,There are four men.,743
239,A girl in a red shirt is sitting with a laptop on her lap.,The girl is wearing a green shirt.,745
240,A brown dog is running through the grass panting.,A brown dog is running through the desert.,747
241,A man handing a box to a group of men.,Man is sitting at home watching a TV show about men.,749
242,Three school-aged children in uniforms jumping rope,The people jumping rope are adults.,750
243,Sportscaster Jim Rome looking dapper.,An athlete is jumping.,752
244,A boy sitting in water.,A girl is flying a kite.,756
245,five children lie on a gymnasium floor holding hands while a sixth attempts to pull them all along in a chain.,Twenty dogs are eating rabbits.,761
246,A black and white dog has a red toy in his mouth and is jumping.,The dog is chasing a bicycle.,763
247,A young Asian woman in silver high heels and short skirt stands on a sidewalk.,A woman is dancing with her child.,766
248,Man standing by a poster of religious beliefs.,Man running on a beach.,768
249,A man holding a red and white flag rides a horse on the beach with a dog following beside.,Nobody has a flag,769
250,A black man in a t-shirt and jeans is posing in front of a firehouse.,The man is inside the firehouse.,783
251,A man jumps off a ramp on a snowboard.,A woman jumps off a ramp on a snowboard.,789
252,A woman with pink hair square next to her pink dogs to take a picture.,The dogs are hairless.,791
253,Older man is sitting in a car.,the older man was eating an ice cream cone,801
254,a man is climbing a cliff with his feet on a brown metal plate,a man is climbing a cliff with his feet on a blue metal plate,805
255,A man and a woman sit on a car and face the opposite way of the camera.,A rusted car is the only thing visible.,807
256,"A young boy runs down a field, wearing a name tag.","There is a young worker, sitting in a break room.",817
257,A lack dog and a brown and white dog run on a gravel surface with something red underfoot.,The dogs are hiding under the kitchen table.,820
258,A man pans rocks in a button-down shirt and long shorts.,A woman plays tennis.,821
259,"A young woman dressed in white with angel wings is balancing a bowling pin, while a man with a clowns nose is catching a bowling pen.",The angel is wearing black.,822
260,A little Asian girl is poking at her face and poking her lip out as if to make a funny face.,The little girl's face is stuck that way.,824
261,"At a naval yard, a man in a white Navy officer's uniform is standing by two older men having a discussion.",A woman drinking a bottle of Saylor Jerri rum,827
262,an asian girl wearing a red hat along side several others with red hats as well,The woman's hat is green.,830
263,A man asleep on another sleeping man's lap on a park bench.,A man is inside  eating.,844
264,Line of people waiting to checkout at a store.,The people are in the parking lot.,851
265,A man and woman are sitting close together on a green bench.,A man and dog are sitting close together on a green bench.,852
266,A man in a sedge hat tends to an expansive rice paddy.,A man is planting corn in a field.,853
267,A man is getting ready to hit a tennis ball.,A woman is hitting a baseball.,856
268,Two men are standing by a stop sign at a construction site.,Two women are walking their dogs in the park.,859
269,Girl in black bathing suit looking forward while lying down on a dock floating in water.,The girl is at the library.,860
270,A man sleeps on the ground in some building.,A man is lifting weights at the gym.,861
271,A group of uniformed children gathered in a courtyard.,children are preparing to go to work,862
272,Two dogs are both curious about the object on the sidewalk.,Two dogs are chasing a cat.,863
273,two white dogs running through the grass,The pets are sitting on the porch.,868
274,"Football players on a field, one player is being tackled by the other.",Two men are playing basketball.,870
275,Construction workers in white suits work on a scaffold.,The suits are blue,871
276,A couple in a boat fishing on a small river.,A couple in a boat fishing on a big river.,882
277,A team of men jog around orange cones.,Children do a sack race on a field.,883
278,A man and a boy sit next to an airport window while a large jet airplane waits outside.,A man reads to his child to put him to sleep.,884
279,A backpacker smiles widely as she strolls down the street.,A woman cries as she drives to her house.,888
280,A child in shorts sitting on a two color wall.,A child in a snowsuit is skiing.,889
281,Four people are sitting down on the floor and eating.,The people are cooking dinner.,892
282,A father standing on the side of a pond fishing as his son begins to wander off with the fishing net.,A father sitting.,894
283,A man dressed in a blue shirt and dark colored pants sits in front of several computer monitors.,A man is getting surgery on his back.,902
284,A beauty pageant contestant wearing black clothing and black high heels along with her sash poses for an outdoor picture in a desert like setting.,A beauty pageant is breaching the castle walls in a desert.,903
285,Some young girls in swimsuits playing volleyball on a sandy field.,The boys are in swim trunks playing basketball.,906
286,two hot girls playing volleyball on the beach,The beach is empty.,911
287,A white man going for a walk.,A black man going for a walk.,915
288,A soccer team is warming up on the pitch.,A basketball team is preparing for the game.,917
289,A woman looking at a young blond girl with pigtails.,A woman is asleep in her bed.,919
290,A person in a red shirt is riding a bicycle along a dirt trail.,A person in a blue shirt is riding a bicycle along a dirt trail.,923
291,A man with bandanna hold a rattle in his left hand while reaching for a snake with his right over a blue carpet and next to a large branch.,A man reaches for a puppy while holding a collar in his other hand,925
292,A young man is texting while standing in front of a poster.,A woman talks on the phone.,927
293,Four people in black pants stand in front of a museum.,The people are running out in the rain.,929
294,A snowboarder flies off of a jump which is next to a big red atomic sign.,The snow is red.,933
295,a young blond woman wearing a yellow shirt walking down a sidewalk.,An old man is running down the sidewalk.,936
296,An very nice capture of a soccer game going on between two men as the man from the team in black attempts to interrupt the red and white teams stride.,A cat walks on a fence.,937
297,A woman enjoys a beverage which was made inside of a large fruit.,A lady at church singing hymns,939
298,A middle-aged couple smiles from a round outdoor wooden jacuzzi.,The couple is old with no teeth.,941
299,A group of five waling down a street in suburbia.,An empty city street.,942
300,A girl wearing a navy blue sweatshirt is feeding a brown and white goat.,A women is feeding a dog.,947
301,A man plays the drums with a serious expression.,A woman is teaching piano.,949
302,"Three men, two dressed in white and another in black vestments with a gold cross, address a crowd.",a woman addresses a crowd,954
303,A brown and white dog is paddling through deep water in a blue container.,A brown and white dog naps on the floor.,955
304,A black and brown dog is playing with his chew toys.,A cat is playing with a string.,957
305,Two people sitting on grass in front of a lake looking at the sky.,A crowd of people are freezing in a snow storm.,960
306,A crowd wanders a city street lines with China's flags.,The city street is lined with French flags.,962
307,A skier in a yellow jacket is airborne above the mountains.,"A skier is on the ground, hurt by a fall waiting for help.",964
308,A dog leaps over a red and blue jump.,The dog is leaping over a black jump,966
309,Eight people enjoy the fun of rafts and the beauty of a waterfall.,The inmates are riding in a van.,968
310,Little league slides into plate where rival player crouches in anticipation.,The men are playing soccer.,969
311,A man performing a skateboard jump off the top of a ramp.,A man is performing a snowboard trick with his friends.,970
312,A man dressed in all red is playing his sport with an official in black watching the bounds of the play area.,No one is dressed in red.,975
313,Two young ladies are cleaning dishes on the grass outside of a campsite.,There are two men,977
314,"An adult in brightly colored clothing and hat, is weaving or beading while sitting on brightly colored rugs.",A young child playing on a bright rug.,981
315,A older gentlemen standing in the brush.,the man is seated,982
316,Women compete in a game of roller derby.,Men are racing go karts.,985
317,A boy in an orange shirt sitting at the edge of water on a large rock.,All of the rocks are small.,987
318,A woman stands with her arms out at her sides while another takes a picture.,The woman poses while her arms are folded.,988
319,A person dressed in brown and gray walks down a long street lined with yellow-walled buildings with tiled roofs.,No one is on a street.,992
320,The man with no shirt and flip-flops looks at the women in white shorts.,The man is wearing a tank-top.,993
321,Man welding large pipe section while wearing mask.,A man is playing checkers.,996
322,A girl with long hair is riding a teeter totter.,A girl climbing the monkey bars.,997
323,An artist wearing a red gingham scarf works on a painting of a tower.,An artist is preparing dinner.,998
324,A man is feeding a child food while sitting near a building with onlookers.,A man is playing guitar on the street for onlookers.,999
325,A man woman and three children going for a walk.,A lady is stealing bread.,1005
326,A person with a helmet is riding a bike i the grass and dirt.,Someone riding a bike without any protective gear.,1013
327,Two hockey teams compete.,People playing basketball.,1018
328,Two women playing musical instruments; one plays violin and the other play a wind instrument.,Two men are playing the drums.,1019
329,A boy wearing red swim trunks is playing in the water at the beach.,a boy is wearing a black three piece suit,1020
330,A man in a striped shirt and two redheaded boys are posing for a picture outside.,The three males are inside.,1021
331,A lady wearing a hat and sunglasses is painting a picture of a wooded area with a river with a brush held in her right hand.,A man sits in a tree stand holding a gun.,1025
332,Three people diving into water.,The three people are in a boat.,1031
333,People walking through the underpass of a bridge.,Monkeys stare through the bars at the zoo.,1036
334,A brown dog is playing outside in a grassy area.,A dog is on the couch sleeping,1037
335,Baseball pitcher throwing a pitch.,A batter cleans off his bat.,1038
336,Two women in traditional Japanese clothing smile at the photographer.,Two men posing for a photo.,1039
337,"Two bald men, one sitting at a computer and the other behind him, in front of red window curtains.",Men go for a run in the city.,1042
338,a teenage mother is sitting on the couch with her child.,A teenager dances in the kitchen with her grandfather.,1045
339,two men playing soccer on a wet field,Two men are playing soccer inside the house.,1052
340,man wearing gray jacket watching family at worship.,Man is watching football on a Sunday.,1053
341,Two motocross bikers are performing stunts coming off of a large jump.,Two people are riding unicycles.,1054
342,A rider is being ready to ride a horse.,A horse galloping with a rider on its back.,1060
343,Two dogs confront each other in the middle of a field,Two cats confront each other in a field.,1066
344,An elderly woman in front of a fruit stand touching a package of strawberries.,A woman is allergic to fruit.,1067
345,Two white and black dogs running in the grass.,The dogs are sleeping on the couch.,1069
346,A woman in a tank and sunglasses climbs a sunny but snow-covered slope.,The children are going sledding.,1078
