index,premise,hypothesis
82,A man holds multiple flags while standing in a town square.,A man is holding nothing while standing in a square.
83,Men discuss something while in front of stand.,The men are fighting
84,two males from the green team tackles the other members from black team for the ball in a game of rugby.,They are playing hockey.
85,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat.,The girl has brown hair and is on the back of a pickup truck.
86,A young girl with a pink headband hits a dish and pan with chopsticks.,the girls is asleep
87,Two older people drinking coffee outside.,Two kids are drinking soda inside.
88,"Two male bicyclists wearing racing suits, goggles, and helmets pedal along a path marked with metal barricades.",The guys were watching a bike race on tv.
89,A woman and a little boy with a backpack walking with an umbrella in the city.,Two people in the country are sitting down.
90,People walking down the street and past an open bus.,People on the bus use make shit fans to cool themselves after the air conditioning system failed.
91,a man sleeping on a bench outside with a white and black dog sitting next to him.,A man is seen petting his dog
92,A young boy tilted forward in a child's swing.,A young boy tilted backward in a child's swing.
93,"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",The woman is wearing a white dress.
94,"Two women, one sitting in a chair, the other standing, appear to be injured.",Two woman are sitting at the park.
95,Two women in a light blue and a dark blue jacket walking in a crosswalk and a fake giant rat is on the sidewalk behind them.,The men cheer at the television screen.
96,A surfer with a large white surfboard and tether line is standing on the beach on an overcast day.,A man loads his surfboard onto his jeep.
97,"A guy on skateboard, doing a trick.",Hitler riding a skateboard.
98,Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area.,A perfectly healthy person with a crew cut is walking into the hospital.
99,Picture of a hotdog vendor in the street.,A man is cooking a hamburger in a bathroom.
